Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew,link,director_count,producer_count,writer_count,production_co_count,runtime_minutes,box_office_(gross_usa) in millions
10,Star Wars: The Last Jedi,2017,"Luke Skywalker's peaceful and solitary existence gets upended when he encounters Rey, a young woman who shows strong signs of the Force. Her desire to learn the ways of the Jedi forces Luke to make a decision that changes their lives forever. Meanwhile, Kylo Ren and General Hux lead the First Order in an all-out assault against Leia and the Resistance for supremacy of the galaxy.",90,42.0,Star Wars: The Last Jedi honors the saga's rich legacy while adding some surprising twists -- and delivering all the emotion-rich action fans could hope for.,476,"100,000+",Action & Adventure,PG-13,"action, sci fi, adventure, fantasy",English,Rian Johnson,"Kathleen Kennedy, Ram Bergman",Rian Johnson,"Dec 15, 2017 wide",43170.0,$620.2M,2h 32m,Lucasfilm Ltd.,"DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),Star Wars Saga,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Rian Johnson, Rian Johnson, Kathleen Kennedy, Ram Bergman, J.J. Abrams, Tom Karnowski, Jason McGatlin, Steve Yedlin, Bob Ducsay",http://www.rottentomatoes.com/m/star_wars_the_last_jedi,1,2,1,1,152,620.2
11,Star Wars: The Force Awakens,2015,"Thirty years after the defeat of the Galactic Empire, the galaxy faces a new threat from the evil Kylo Ren (Adam Driver) and the First Order. When a defector named Finn crash-lands on a desert planet, he meets Rey (Daisy Ridley), a tough scavenger whose droid contains a top-secret map. Together, the young duo joins forces with Han Solo (Harrison Ford) to make sure the Resistance receives the intelligence concerning the whereabouts of Luke Skywalker (Mark Hamill), the last of the Jedi Knights.",93,86.0,"Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy.",440,"100,000+",Action & Adventure,PG-13,"action, sci fi, adventure, fantasy",English,J.J. Abrams,"Kathleen Kennedy, J.J. Abrams, Bryan Burk","Lawrence Kasdan, J.J. Abrams, Michael Arndt","Dec 18, 2015 wide",42461.0,123,2h 16m,"Lucasfilm Ltd., Bad Robot","Dolby Digital, Dolby Atmos",Scope (2.35:1),Star Wars Saga,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Lupita Nyong'o, Andy Serkis, Domhnall Gleeson, J.J. Abrams, Lawrence Kasdan, J.J. Abrams, Michael Arndt, Kathleen Kennedy, J.J. Abrams, Bryan Burk, Tommy Harper, Jason McGatlin, Dan Mindel",http://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens,1,3,3,2,136,123.0
14,Spider-Man: Far From Home,2019,"Peter Parker's relaxing European vacation takes an unexpected turn when Nick Fury shows up in his hotel room to recruit him for a mission. The world is in danger as four massive elemental creatures -- each representing Earth, air, water and fire -- emerge from a hole torn in the universe. Parker soon finds himself donning the Spider-Man suit to help Fury and fellow superhero Mysterio stop the evil entities from wreaking havoc across the continent.",90,95.0,"A breezily unpredictable blend of teen romance and superhero action, Spider-Man: Far from Home stylishly sets the stage for the next era of the MCU.",448,"50,000+ Verified",Action & Adventure,PG-13,"action, comedy, fantasy, adventure",English,Jon Watts,"Kevin Feige, Amy Pascal","Chris McKenna, Erik Sommers","Jul 2, 2019 wide",43704.0,$390.7M,2h 9m,"Columbia Pictures, Pascal Pictures, Marvel Studios","Dolby Digital, Dolby Atmos",Scope (2.35:1),Marvel Cinematic Universe,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Jon Watts, Chris McKenna, Erik Sommers, Kevin Feige, Amy Pascal, Louis D'Esposito, Victoria Alonso, Thomas M. Hammel, Eric Hauserman Carroll, Rachel O'Connor",http://www.rottentomatoes.com/m/spider_man_far_from_home,1,2,2,3,129,390.7
15,Incredibles 2,2018,"Telecommunications guru Winston Deavor enlists Elastigirl to fight crime and make the public fall in love with superheroes once again. That leaves Mr. Incredible with one of his greatest challenges ever -- staying home and taking care of three rambunctious children. As Violet, Dash and Jack-Jack offer him a new set of headaches, a cybercriminal named Screenslaver launches his dastardly plan -- hypnotizing the world through computer screens.",93,84.0,"Incredibles 2 reunites Pixar's family crimefighting team for a long-awaited follow-up that may not quite live up to the original, but comes close enough to earn its name.",382,"10,000+",Action & Adventure,PG,"comedy, animation, action, kids and family, adventure",English,Brad Bird,"John Walker, Nicole Paradis Grindle",Brad Bird,"Jun 15, 2018 wide",43396.0,$608.6M,1h 58m,"Walt Disney Pictures, Pixar Animation Studios","DTS, Dolby Digital, Dolby Atmos",Scope (2.35:1),Pixar,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Brad Bird, Bill Wise, Isabella Rossellini, Brad Bird, Brad Bird, Nicole Paradis Grindle, John Lasseter, Stephen Schaffer, Michael Giacchino",http://www.rottentomatoes.com/m/incredibles_2,1,2,1,2,118,608.6
17,War for the Planet of the Apes,2017,"Caesar (Andy Serkis) and his apes are forced into a deadly conflict with an army of humans led by a ruthless colonel (Woody Harrelson). After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the colonel are pitted against each other in an epic battle that will determine the fate of both of their species and the future of the planet.",94,84.0,"War for the Planet of the Apes combines breathtaking special effects and a powerful, poignant narrative to conclude this rebooted trilogy on a powerful -- and truly blockbuster -- note.",355,"50,000+",Action & Adventure,PG-13,"sci fi, adventure, action",English,Matt Reeves,"Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver","Matt Reeves, Mark Bomback","Jul 14, 2017 wide",43556.0,$146.8M,2h 22m,"20th Century Fox, Bluegrass Films, Chernin Entertainment",Dolby Atmos,Scope (2.35:1),Planet of the Apes,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Terry Notary, Amiah Miller, Judy Greer, Max Lloyd-Jones, Devyn Dalton, Toby Kebbell, Matt Reeves, Matt Reeves, Mark Bomback, Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver, Mark Bomback, Mary McLaglen, Michael Seresin",http://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes,1,4,2,3,142,146.8
18,Spider-Man: Homecoming,2017,"Thrilled by his experience with the Avengers, young Peter Parker returns home to live with his Aunt May. Under the watchful eye of mentor Tony Stark, Parker starts to embrace his newfound identity as Spider-Man. He also tries to return to his normal daily routine -- distracted by thoughts of proving himself to be more than just a friendly neighborhood superhero. Peter must soon put his powers to the test when the evil Vulture emerges to threaten everything that he holds dear.",92,87.0,"Spider-Man: Homecoming does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building.",391,"100,000+",Action & Adventure,PG-13,"adventure, fantasy, action, comedy",English,Jon Watts,"Kevin Feige, Amy Pascal","Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers","Jul 7, 2017 wide",42926.0,$334.4M,2h 13m,"Columbia Pictures, Marvel Studios","DTS, SDDS, Dolby Atmos",Scope (2.35:1),Marvel Cinematic Universe,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Jon Watts, Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers, Kevin Feige, Amy Pascal, Louis D'Esposito",http://www.rottentomatoes.com/m/spider_man_homecoming,1,2,6,2,133,334.4
19,Baby Driver,2017,"Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the game. After meeting the woman (Lily James) of his dreams, he sees a chance to ditch his shady lifestyle and make a clean break. Coerced into working for a crime boss (Kevin Spacey), Baby must face the music as a doomed heist threatens his life, love and freedom.",92,86.0,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.",389,"50,000+",Action & Adventure,R,"mystery and thriller, action",English,Edgar Wright,"Nira Park, Tim Bevan, Eric Fellner",Edgar Wright,"Jun 28, 2017 wide",42926.0,$107.8M,1h 53m,"Working Title Films, Big Talk Pictures","Dolby Atmos, Dolby Digital",Scope (2.35:1),,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal, Jon Hamm, Jamie Foxx, Eiza GonzÃ¡lez, Flea, Sky Ferreira, Lanny Joon, Edgar Wright, Edgar Wright, Nira Park, Tim Bevan, Eric Fellner, Edgar Wright, Rachael Prior, James Biddle, Adam Merims, Liza Chasin",http://www.rottentomatoes.com/m/baby_driver,1,3,1,2,113,107.8
22,Jaws,1975,"When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island, police chief Martin Brody (Roy Scheider) wants to close the beaches, but mayor Larry Vaughn (Murray Hamilton) overrules him, fearing that the loss of tourist revenue will cripple the town. Ichthyologist Matt Hooper (Richard Dreyfuss) and grizzled ship captain Quint (Robert Shaw) offer to help Brody capture the killer beast, and the trio engage in an epic battle of man vs. nature.",98,90.0,"Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's Jaws has remained a benchmark in the art of delivering modern blockbuster thrills.",91,"250,000+",Action & Adventure,PG,"mystery and thriller, adventure, horror",English,Steven Spielberg,"David Brown, Richard D. Zanuck","Howard Sackler, John Milius, Robert Shaw","Jun 20, 1975 wide",42207.0,$260.9M,2h 4m,"Universal Pictures, Zanuck/Brown Productions","Mono, CDS",,,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey C. Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman, Steven Spielberg, Peter Benchley, Peter Benchley, Carl Gottlieb, Howard Sackler, John Milius, Robert Shaw, Richard D. Zanuck",http://www.rottentomatoes.com/m/jaws,1,2,3,2,124,260.9
24,Shazam!,2019,"We all have a superhero inside of us -- it just takes a bit of magic to bring it out. In 14-year-old Billy Batson's case, all he needs to do is shout out one word to transform into the adult superhero Shazam. Still a kid at heart, Shazam revels in the new version of himself by doing what any other teen would do -- have fun while testing out his newfound powers. But he'll need to master them quickly before the evil Dr. Thaddeus Sivana can get his hands on Shazam's magical abilities.",90,82.0,"An effortlessly entertaining blend of humor and heart, Shazam! is a superhero movie that never forgets the genre's real power: joyous wish fulfillment.",409,"10,000+",Action & Adventure,PG-13,"comedy, adventure, action, fantasy",English,David F. Sandberg,Peter Safran,Henry Gayden,"Apr 5, 2019 wide",43648.0,$140.4M,2h 12m,"Mad Ghost Productions, DC Entertainment, Seven Bucks Productions, Safran Company",Dolby Atmos,Scope (2.35:1),DC Extended Universe,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, Djimon Hounsou, Grace Fulton, Ian Chen, Jovan Armand, Faithe Herman, Cooper Andrews, David F. Sandberg, Henry Gayden, Peter Safran, Jeffrey Chernov, Christopher Godsick, Walter Hamada, Geoff Johns, Adam Schlagman, Richard Brener, Dave Neustadter",http://www.rottentomatoes.com/m/shazam,1,1,1,4,132,140.4
25,The Dark Knight,2008,"With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has been able to keep a tight lid on crime in Gotham City. But when a vile young criminal calling himself the Joker (Heath Ledger) suddenly throws the town into chaos, the caped Crusader begins to tread a fine line between heroism and vigilantism.",94,94.0,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",344,"250,000+",Action & Adventure,PG-13,"fantasy, action, adventure",English,Christopher Nolan,"Emma Thomas, Charles Roven, Christopher Nolan","Jonathan Nolan, Christopher Nolan","Jul 18, 2008 wide",40343.0,$2.0M,2h 32m,Syncopy,"DTS, Dolby Digital, SDDS",Scope (2.35:1),Batman,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Ron Dean, Cillian Murphy, Christopher Nolan, Jonathan Nolan, Christopher Nolan, Emma Thomas, Charles Roven, Christopher Nolan, Kevin De La Noy, Benjamin Melniker, Michael E. Uslan, Thomas Tull",http://www.rottentomatoes.com/m/the_dark_knight,1,3,2,1,152,2.0
27,Blade Runner 2049,2017,"Officer K (Ryan Gosling), a new blade runner for the Los Angeles Police Department, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. His discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former blade runner who's been missing for 30 years.",88,81.0,"Visually stunning and narratively satisfying, Blade Runner 2049 deepens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right.",439,"50,000+",Action & Adventure,R,"mystery and thriller, sci fi",English,Denis Villeneuve,"Andrew A. Kosove, Broderick Johnson, Bud Yorkin, Cynthia Sikes Yorkin","Hampton Fancher, Michael Green","Oct 6, 2017 wide",43095.0,$91.5M,2h 44m,"Torridon Films, Alcon Entertainment, Bud Yorkin Productions, Scott Free Productions, 16:14 Entertainment",Dolby Atmos,Scope (2.35:1),Blade Runner,"Ryan Gosling, Harrison Ford, Ana de Armas, Sylvia Hoeks, Robin Wright, Jared Leto, Mackenzie Davis, Carla Juri, Lennie James, Dave Bautista, Denis Villeneuve, Hampton Fancher, Michael Green, Andrew A. Kosove, Broderick Johnson, Bud Yorkin, Cynthia Sikes Yorkin, Ridley Scott, Bill Carraro, Tim Gamble",http://www.rottentomatoes.com/m/blade_runner_2049,1,4,2,5,164,91.5
29,Captain America: Civil War,2016,"Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The new status quo deeply divides members of the team. Captain America (Chris Evans) believes superheroes should remain free to defend humanity without government interference. Iron Man (Robert Downey Jr.) sharply disagrees and supports oversight. As the debate escalates into an all-out feud, Black Widow (Scarlett Johansson) and Hawkeye (Jeremy Renner) must pick a side.",90,89.0,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,419,"100,000+",Action & Adventure,PG-13,"adventure, fantasy, action",English,"Anthony Russo, Joe Russo",Kevin Feige,"Christopher Markus, Stephen McFeely","May 6, 2016 wide",42615.0,$408.1M,2h 26m,Marvel Studios,"Dolby Atmos, Dolby Digital",,Marvel Cinematic Universe,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Kevin Feige, Louis D'Esposito, Victoria Alonso, Patricia Whitcher, Nate Moore, Stan Lee",http://www.rottentomatoes.com/m/captain_america_civil_war,2,1,2,1,146,408.1
